ID_AGENCY;Agency Name;Agency Type
AGG_000167;Winslow;Municipal Police
AGG_000168;Pima;Sheriff
AGG_000169;South Tucson;Municipal Police
AGG_000170;Tucson;Municipal Police
AGG_000171;Oro Valley;Municipal Police
AGG_000172;Marana;Municipal Police
AGG_000173;Pinal;Sheriff
AGG_000174;Casa Grande;Municipal Police
AGG_000175;Coolidge;Municipal Police
AGG_000176;Florence;Municipal Police
AGG_000177;Yavapai;Sheriff
AGG_000178;Prescott;Municipal Police
AGG_000179;Prescott Valley;Municipal Police
AGG_000180;Yuma;Sheriff
AGG_000181;Yuma;Municipal Police
AGG_000182;Alameda;Sheriff
AGG_000183;Alameda;Municipal Police
AGG_000184;Berkeley;Municipal Police
AGG_000185;Emeryville;Municipal Police
AGG_000186;Fremont;Municipal Police
AGG_000187;Hayward;Municipal Police
AGG_000188;Livermore;Municipal Police
AGG_000189;Newark;Municipal Police
AGG_000190;Oakland;Municipal Police
AGG_000191;San Leandro;Municipal Police
AGG_000192;Union City;Municipal Police
AGG_000193;Amador;Sheriff
AGG_000194;Ione;Municipal Police
AGG_000195;Butte;Sheriff
AGG_000196;Chico;Municipal Police
AGG_000197;Oroville;Municipal Police
AGG_000198;Calaveras;Sheriff
AGG_000199;Contra Costa;Sheriff
AGG_000200;Antioch;Municipal Police
AGG_000201;Brentwood;Municipal Police
AGG_000202;Concord;Municipal Police
AGG_000203;El Cerrito;Municipal Police
AGG_000204;Pinole;Municipal Police
AGG_000205;Pittsburg;Municipal Police
AGG_000206;Richmond;Municipal Police
AGG_000207;San Pablo;Municipal Police
AGG_000208;Martinez;Municipal Police
AGG_000209;Danville;Municipal Police
AGG_000210;San Ramon;Municipal Police
AGG_000211;Oakley;Municipal Police
AGG_000212;El Dorado;Sheriff
AGG_000213;Placerville;Municipal Police
AGG_000214;Fresno;Sheriff
AGG_000215;Clovis;Municipal Police
AGG_000216;Fresno;Municipal Police
AGG_000217;Huron;Municipal Police
AGG_000218;Reedley;Municipal Police
AGG_000219;Sanger;Municipal Police
AGG_000220;Glenn;Sheriff
AGG_000221;Humboldt;Sheriff
AGG_000222;Eureka;Municipal Police
AGG_000223;Imperial;Sheriff
AGG_000224;Calexico;Municipal Police
AGG_000225;Kern;Sheriff
AGG_000226;Arvin;Municipal Police
AGG_000227;Bakersfield;Municipal Police
AGG_000228;Delano;Municipal Police
AGG_000229;Shafter;Municipal Police
AGG_000230;California City;Municipal Police
AGG_000231;Kings;Sheriff
AGG_000232;Hanford;Municipal Police
AGG_000233;Lemoore;Municipal Police
AGG_000234;Lake;Sheriff
AGG_000235;Clearlake;Municipal Police
AGG_000236;Susanville;Municipal Police
AGG_000237;Los Angeles;Sheriff
AGG_000238;Alhambra;Municipal Police
AGG_000239;Arcadia;Municipal Police
AGG_000240;Artesia;Municipal Police
AGG_000241;Azusa;Municipal Police
AGG_000242;Baldwin Park;Municipal Police
AGG_000243;Bell;Municipal Police
AGG_000244;Bellflower;Municipal Police
AGG_000245;Bell Gardens;Municipal Police
AGG_000246;Burbank;Municipal Police
AGG_000247;Claremont;Municipal Police
AGG_000248;Commerce;Municipal Police
AGG_000249;Compton;Municipal Police
AGG_000250;Cudahy;Municipal Police
AGG_000251;Culver City;Municipal Police
AGG_000252;Cerritos;Municipal Police
AGG_000253;West Hollywood;Municipal Police
AGG_000254;Santa Clarita;Municipal Police
AGG_000255;Diamond Bar;Municipal Police
AGG_000256;Downey;Municipal Police
AGG_000257;Duarte;Municipal Police
AGG_000258;El Monte;Municipal Police
AGG_000259;El Segundo;Municipal Police
AGG_000260;Gardena;Municipal Police
AGG_000261;Glendora;Municipal Police
AGG_000262;Hawaiian Gardens;Municipal Police
AGG_000263;Hawthorne;Municipal Police
AGG_000264;Huntington Park;Municipal Police
AGG_000265;Industry;Municipal Police
AGG_000266;Inglewood;Municipal Police
AGG_000267;Lakewood;Municipal Police
AGG_000268;La Mirada;Municipal Police
AGG_000269;La Puente;Municipal Police
AGG_000270;La Verne;Municipal Police
AGG_000271;Lawndale;Municipal Police
AGG_000272;Long Beach;Municipal Police
AGG_000273;Los Angeles;Municipal Police
AGG_000274;Lynwood;Municipal Police
AGG_000275;Maywood;Municipal Police
AGG_000276;Montebello;Municipal Police
AGG_000277;Monterey Park;Municipal Police
AGG_000278;Norwalk;Municipal Police
AGG_000279;Palmdale;Municipal Police
AGG_000280;Paramount;Municipal Police
AGG_000281;Pasadena;Municipal Police
AGG_000282;Pico Rivera;Municipal Police
AGG_000283;Pomona;Municipal Police
AGG_000284;Rosemead;Municipal Police
AGG_000285;San Fernando;Municipal Police
AGG_000286;San Gabriel;Municipal Police
AGG_000287;Santa Fe Springs;Municipal Police
AGG_000288;Santa Monica;Municipal Police
AGG_000289;Sierra Madre;Municipal Police
AGG_000290;Signal Hill;Municipal Police
AGG_000291;South El Monte;Municipal Police
AGG_000292;South Gate;Municipal Police
AGG_000293;South Pasadena;Municipal Police
AGG_000294;Temple City;Municipal Police
AGG_000295;Torrance;Municipal Police
AGG_000296;West Covina;Municipal Police
AGG_000297;Whittier;Municipal Police
AGG_000298;Carson;Municipal Police
AGG_000299;Lancaster;Municipal Police
AGG_000300;Madera;Sheriff
AGG_000301;Marin;Sheriff
AGG_000302;San Rafael;Municipal Police
AGG_000303;Mariposa;Sheriff
AGG_000304;Mendocino;Sheriff
AGG_000305;Ukiah;Municipal Police
AGG_000306;Merced;Sheriff
AGG_000307;Atwater;Municipal Police
AGG_000308;Gustine;Municipal Police
AGG_000309;Livingston;Municipal Police
AGG_000310;Merced;Municipal Police
AGG_000311;Monterey;Sheriff
AGG_000312;King City;Municipal Police
AGG_000313;Salinas;Municipal Police
AGG_000314;Soledad;Municipal Police
AGG_000315;Napa;Sheriff
AGG_000316;Napa;Municipal Police
AGG_000317;Nevada;Sheriff
AGG_000318;Orange;Sheriff
AGG_000319;Anaheim;Municipal Police
AGG_000320;Buena Park;Municipal Police
AGG_000321;Costa Mesa;Municipal Police
AGG_000322;Cypress;Municipal Police
AGG_000323;Fullerton;Municipal Police
AGG_000324;Garden Grove;Municipal Police
AGG_000325;Huntington Beach;Municipal Police
AGG_000326;La Habra;Municipal Police
AGG_000327;Newport Beach;Municipal Police
AGG_000328;Orange;Municipal Police
AGG_000329;Placentia;Municipal Police
AGG_000330;San Clemente;Municipal Police
AGG_000331;San Juan Capistrano;Municipal Police
AGG_000332;Santa Ana;Municipal Police
AGG_000333;Stanton;Municipal Police
AGG_000334;Tustin;Municipal Police
AGG_000335;Westminster;Municipal Police
AGG_000336;Irvine;Municipal Police
AGG_000337;Lake Forest;Municipal Police
AGG_000338;Laguna Woods;Municipal Police
AGG_000339;Placer;Sheriff
AGG_000340;Roseville;Municipal Police
AGG_000341;Riverside;Sheriff
AGG_000342;Banning;Municipal Police
AGG_000343;Beaumont;Municipal Police
AGG_000344;Coachella;Municipal Police
AGG_000345;Desert Hot Springs;Municipal Police
AGG_000346;Hemet;Municipal Police
AGG_000347;Indio;Municipal Police
AGG_000348;Norco;Municipal Police
AGG_000349;Palm Springs;Municipal Police
AGG_000350;Perris;Municipal Police
AGG_000351;Riverside;Municipal Police
AGG_000352;San Jacinto;Municipal Police
AGG_000353;Corona;Municipal Police
AGG_000354;Palm Desert;Municipal Police
AGG_000355;Cathedral City;Municipal Police
AGG_000356;Lake Elsinore;Municipal Police
AGG_000357;La Quinta;Municipal Police
AGG_000358;Moreno Valley;Municipal Police
AGG_000359;Temecula;Municipal Police
AGG_000360;Murrieta;Municipal Police
AGG_000361;Sacramento;Sheriff
AGG_000362;Galt;Municipal Police
AGG_000363;Sacramento;Municipal Police
AGG_000364;Elk Grove;Municipal Police
AGG_000365;Hollister;Municipal Police
AGG_000366;San Bernardino;Sheriff
AGG_000367;Barstow;Municipal Police
AGG_000368;Colton;Municipal Police
AGG_000369;Fontana;Municipal Police
AGG_000370;Montclair;Municipal Police
AGG_000371;Needles;Municipal Police
AGG_000372;Ontario;Municipal Police
AGG_000373;Redlands;Municipal Police
AGG_000374;Rialto;Municipal Police
AGG_000375;San Bernardino;Municipal Police
AGG_000376;Upland;Municipal Police
AGG_000377;Victorville;Municipal Police
AGG_000378;Adelanto;Municipal Police
AGG_000379;Rancho Cucamonga;Municipal Police
AGG_000380;Loma Linda;Municipal Police
AGG_000381;Highland;Municipal Police
AGG_000382;Twentynine Palms;Municipal Police
AGG_000383;Hesperia;Municipal Police
AGG_000384;Apple Valley;Municipal Police
AGG_000385;Yucaipa;Municipal Police
AGG_000386;Chino Hills;Municipal Police
AGG_000387;Yucca Valley;Municipal Police
AGG_000388;San Diego;Sheriff
AGG_000389;Carlsbad;Municipal Police
AGG_000390;Chula Vista;Municipal Police
AGG_000391;El Cajon;Municipal Police
AGG_000392;Escondido;Municipal Police
AGG_000393;Imperial Beach;Municipal Police
AGG_000394;La Mesa;Municipal Police
AGG_000395;National City;Municipal Police
AGG_000396;Oceanside;Special Police
AGG_000397;San Diego;Municipal Police
AGG_000398;San Marcos;Municipal Police
AGG_000399;Vista;Municipal Police
AGG_000400;Lemon Grove;Municipal Police
AGG_000401;Encinitas;Municipal Police
AGG_000402;Solana Beach;Municipal Police
AGG_000403;San Francisco;Municipal Police
AGG_000404;San Joaquin;Sheriff
AGG_000405;Lodi;Municipal Police
AGG_000406;Manteca;Municipal Police
